params,molecule,choice,fail,time
40 maxMarginalStrength true false 2 1 1800 3750 4250 -200 -100 true,CTCC(CC)CTCC1CC(CTCOCCCOCTCOCC2CTCC2)CC1, 2832, 1396, 97568
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,X/[TH+]=C(Tc1[nH]cc(TOR)c1c2nn(F)cc2I)\O, 53, 16, 37901
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,O=NC(Cl)=CTN=NN1N=[TH+]SC2([C@@](CI)C2)S1, 57, 14, 48971
40 maxMarginal true false 2 1 1800 1750 2250 100 200 true,T(CCCC(CC(C(C(C(C=C(=C))=CCC)))))C1TTTT1, 40, 0, 30873
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,RCO[N+]O[TH+]CSc1c(F)scc1N=NC=[C@@H]CCCR, 342, 146, 77336
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,O(ON1OSOT[C@@H][N+]T1)C=C(Br)CC(CBr)[C@]#N, 294, 122, 70131
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -400 -300 true,CN(N(N(TTC1)C1)C)CCN(TC2=CT2)C([C@@]C)OR, 225, 98, 48000
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,c1n(X)cnc1CCc2n(C(#CTC))nc(C(SC(F)X))c2Cl, 107, 38, 30520
40 maxMarginalStrength true false 2 1 1800 2750 3250 100 200 true,C1CC(C2TC(C(CCCC=CCCCOCCC3TOTC3))TC2)TC1, 42, 1, 58692
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,Fc1snnc1N2TN=N[C@@H][C@@H]=[N+](SCCI)S2_, 30, 1, 27155
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,S=CCC1TC([C@@]CCOCOSOCTC(CN2CSCC2))TCC1_, 274, 121, 36405
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,R[C@H]1CSN(N=S)TC[N+](C2(TC2)C3(T))=C3O1, 53, 12, 35455
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,c1cnsc1c2[nH]c(R)cc2N3C[TH+]N(OCBr)T[N+]3, 249, 103, 66926
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,C(OSN1C=CC1)(OTSC(C=COSOC)=CC(SC[C@@]))F, 3038, 1504, 141472
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -200 -100 true,XTC(TN=C[C@H])([C@]#N)TCCTC1OCC(CC2)N2C1, 1493, 731, 122496
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,Xc1n[nH]nc1C/C(C2(C[C@]2(OI))[C@@H])=N\T, 402, 179, 64908
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,S(TI)\[TH+]=[N+](C(N(R)F)\C(C#N)=C/C)\C_, 39, 6, 33881
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,N(TF)=CO/C=[C@@](OSS(O/N=[TH+]/C(=T)))\C, 260, 108, 95304
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,C(SC1CO[C@@]N1)CSCC2(TN(X)SC2)SC#CCOCCC_, 1133, 552, 48840
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,C1CN(TC(TTBr)(C#C)COC2ON(OOCC(Cl)F)O2)C=C1, 48, 6, 34141
40 maxMarginal true false 2 1 1800 3750 4250 -200 -100 true,C1CC(CC2CCOCC2(C(C3CTCOC3)CCTN4OSS4))SC1, 10891, 5427, 257400
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -200 -100 true,C(CCR)(OTOC(ON=C=[C@@]))([C@]=T)C1COCTT1, 167, 69, 30470
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,XC(c1oc(R)nn1)/C(c2cc[nH]c2)=[C@@]/[C@H], 35, 4, 32110
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,Br[C@@]I_________________________________, 6, 0, 15172
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,C(Br)\N=C(c1[nH]nnc1CC/N=C\N(c2nncn2Br))/T, 29, 2, 33069
