params,molecule,choice,fail,time
40 maxMarginalStrength true false 2 1 1800 2750 3250 -400 -300 true,C1TC(C(COOC(C(C#COCOCOCCT)))CC2TCTC2)TC1, 39, 0, 259950
40 maxMarginalStrength true false 2 1 1800 3750 4250 -200 -100 true,C1CC(C(TCTCCOCCOCCOCTCTCCCTCC2CCOC2))CC1, 42, 1, 140566
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,[TH3+]/[TH+]=C(C\N=C(c1ncsc1[C@]#CBr)\S)/S, 248, 101, 480845
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,[C@]N(I)OTT[N+]c1scnc1TTTC(F)(C)[C@](C)Br, 129, 51, 199794
40 maxMarginal true false 2 1 1800 1750 2250 100 200 true,T(C(C(C1C(C(C2CCCTC2)CC=COT)TTC1)))C____, 45, 2, 219435
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,T/C(C/C=[N+]\C(Cl)(c1sccc1I))=[TH+]/[TH+], 571, 253, 549388
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,N1=CC(Cl)S[C@]2(TS2)C(C(SC3(I))=C3C4)C4O1, 32, 1, 189380
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -400 -300 true,CTTTTCOCC(C(C)([C@](=C))OC1[C@]C1)C(=O)T, 444, 205, 336736
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,ClN1[N+]2(CON(OR)S2)[C@@](Cl)(CCCl)TT[N+]1_, 39, 5, 192836
40 maxMarginalStrength true false 2 1 1800 2750 3250 100 200 true,C1TC(C(C(CC(C(CCCSCOCCC)T)))OC2TOTC2)TC1, 39, 0, 282573
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,X/N=[N+](OST\N=[TH+]/C(R)(CCN(CI)CCBr))\C, 179, 76, 223739
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,Fc1ocnc1T[C@@H][TH+]=NN=NN(C#C)CT[C@@]#N, 580, 256, 715854
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,S(=O)(=O)=NSO/C(c1oncc1c2ccccc2C)=[N+]\O, 31, 5, 127824
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -200 -100 true,CTTN(STTO1)C1C(N2O[C@]2)C3([C@](=C)C)TC3, 85, 31, 255572
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,[TH+](OBr)OT[C@][C@]OOC[C@@][C@H]Sc1nocc1, 285, 117, 619440
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,X\[N+](TN(SCl)\N=C(O[C@](=C)TI)\[C@])=N/T, 253, 104, 611912
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,RN1N=[TH+]T[N+]C([N+]c2oc([C@])cc2C)=NS1, 255, 107, 876168
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,BrOCN=CC#CS[N+]1(TOCOCS1)C(TC)O[C@](=C)C_, 47, 11, 115065
40 maxMarginal true false 2 1 1800 3750 4250 -200 -100 true,C1CC(CC2CCTCC2(CCCCTCOCCSTTC3TCCOC3))SC1, 41, 1, 159505
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -200 -100 true,[C@]TC1CTCC(TCTCF)(ON2CCOC2([C@](#C)))T1, 38, 3, 190394
40 maxMarginal true false 2 1 1800 2750 3250 -400 -300 true,C1(C(C(C2CTCC2)COCTCOC=NC)C3OCCCC3)TTTC1, 39, 1, 242562
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,X\C(T/C=C/C(CCC=CC=C=NT[C@H]=[C@@]))=N/S, 281, 114, 435312
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,c1nsnc1C=C=NC2(TCN(c3onnc3TI)CC2)C=[C@@], 407, 179, 511856
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,FCC1CN(N(T)C(Cl)SC(N=NT)=CC(OT)(R)F)C=CC1, 35, 0, 291193
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,TC(OCC1(CCC1(C(T)(R)I))C2(SSCOOC(X)))C2R, 88, 27, 171042
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,CN(R)COCC(STCSS1)C1OC(C2SCCN2(C=CF))CC__, 36, 2, 135569
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -400 -300 true,CN(C1(N=N(C2TCCTTC2))CCC1)C(C)(T)N3CCOS3, 52, 8, 223986
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,Brc1[nH]c(Cl)nc1Cl_________________________, 19, 5, 64529
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,Rc1[nH]nnc1[TH+]=NO[N+][TH+]OC#CCCCC[C@], 43, 11, 179358
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,C(O(S(CC1(C(OSC)N2CCSTCT2)SC1(Cl))))SCCC_, 49, 8, 233367
40 maxMarginalLDS true false 2 1 1800 3750 4250 -400 -300 true,C1CC(CC2CCOCC2(C=NCTCOSOCTCC3TCTCS3))CC1, 160, 15, 338251
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,ClCTCc1c[nH]nc1TN(OBr)CTC[C@]#C[C@@]OC=NOF, 65, 19, 150145
40 maxMarginalLDS true false 2 1 1800 2750 3250 -200 -100 true,C1(C(C(C2CTCC2)COCOCTCOCC)C3CCCCC3)TTTC1, 40, 0, 322464
