[INFO] Scanning for projects...
[INFO] 
[INFO] -------------------------< minicpbp:minicpbp >--------------------------
[INFO] Building minicpbp 1.0
[INFO]   from pom.xml
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec:3.1.0:java (default-cli) @ minicpbp ---
nb eq ; ineq 4 ; 0
maxMarginal
c Warning: method updateBelief not implemented yet for LinEqSystemModP constraint. Using uniform belief instead.
[INFO] Now solving
No restarts
FC(TC(C=CTC)C(CTC#CCTCOC(C=C)))C________ weight of 2360 logP of 0
RCOOC(COCTC)C#CTC(CC#COC(C(C)))C________ weight of 2660 logP of 0
C(T(C(C=CTC)C#CTC#CCTCTC(COC)))C________ weight of 2160 logP of 0
S(O(C(CCCTC)C=CTC#CCCCTC(CTC)))C________ weight of 2661 logP of 0
COCSC(C#CTC=C(CTCTCC#C(C(C)C)))C________ weight of 2621 logP of 0
C(X)C(CCCTC=C(CTC)CC=C(C(CTC)))C________ weight of 2200 logP of 0
FON(C(COCTC=C(CTC)CCTCOC(C=C)))C________ weight of 2730 logP of 0
O(STC(C#CTC=C(CTC=CC)CSC(C=C)))C________ weight of 2662 logP of 0
XC=CC(COCTC=C(CTC=CC=COC(C#C)))C________ weight of 2440 logP of 0
S(T)C(COCTC=C(CTCTCC=CCC(COC)))C________ weight of 2701 logP of 0
XC(OC(COCTC=C(CTC=CCOCTC(C)C)))C________ weight of 2540 logP of 0
RN=NC(COCTC=C=CTC#CCOCTC(C(C)))C________ weight of 2480 logP of 0
FOC=C(C#CTC=CTCTC(CC#CTC(COC)))C________ weight of 2480 logP of 0
RON=C(C=CTC=COCTC#CC=CSC(C(C)))C________ weight of 2631 logP of 0
RTCSC(C=CTCCCOCTC=CC=C(C(C#C)))C________ weight of 2621 logP of 0
XC(CC(C#CTCCC#CTC)CCSC(C(CTC)))C________ weight of 2621 logP of 0
S(O(C(C=CTCCCCCTCTCC)CTC(C=C)))C________ weight of 2681 logP of 0
FN(OC(COCTCTCCCTCTCC(C=C(C)C)))C________ weight of 2730 logP of 0
FOCOC(C)CTCTC(CTC)CC(C#C(C(C)))C________ weight of 2560 logP of 0
COOSC(C(CTCTC(CTC)CC=CTC(C=C)))C________ weight of 2701 logP of 0
FN=NC(CTCTCTC(CTC(CCTC)C(C#C)))C________ weight of 2380 logP of 0
TTOTC(COCTCOC)CTC#CC(C(C(CSC)))C________ weight of 2721 logP of 0
TSCCC(C=CTCOC#CTC(CC(CTC(C)C)))C________ weight of 2661 logP of 0
T(COC(C=CTCOCOCTCTCCTCOC(C#C)))C________ weight of 2680 logP of 0
O(OTC(CTCTCOC(CTCCCC#C)C(C#C)))C________ weight of 2500 logP of 0
FC(OC(C#CTCOC(CTC)CCOC=C(C#C)))C________ weight of 2660 logP of 0
RTC=C(CCCTCOC(CTC)CCSC=C(C(C)))C________ weight of 2681 logP of 0
XTOTC(COCTCOC#CTC=CCSC=C(C(C)))C________ weight of 2681 logP of 0
RN(TC(CCCTC#COCTCSCCTC(C(C)C)))C________ weight of 2691 logP of 0
COC=C(COCTC#C(CTC(CC)C=C(COC)))C________ weight of 2640 logP of 0
ClTC=C(CTCTC#C(CTCCCC(CCC(C)C)))C________ weight of 2665 logP of 0
FOC=C(C=CTCSC)CTC#CC(C=C(C(C)))C________ weight of 2661 logP of 0
FC(OC(C(CTC)C=CTC=CC)COC(CTCT))C________ weight of 2560 logP of 0
TCCCC(C(CTC)COCTCOCC(C=C(C)CT))C________ weight of 2680 logP of 0
S=C=C(C(CTC)COCTCTCC=COC(CTCT))C________ weight of 2681 logP of 0
T(OOC(C=CTC)COCTCCCCOC(C(C)CT))C________ weight of 2720 logP of 0
COTSC(C#CTC)C=CTC(CC#CTC(COCT))C________ weight of 2641 logP of 0
RSOTC(CCCTC)C#CTC#CCCC(C(C=CT))C________ weight of 2621 logP of 0
CCOTC(COCTC)C(CTC#CCTC(C(C)CT))C________ weight of 2520 logP of 0
XSC=C(COCTC)C(CTC=CC#C)C(C(CT))C________ weight of 2501 logP of 0
ClN=NC(COCTC)C#CTC(CC#CTC(CTCT))C________ weight of 2665 logP of 0
RC=NC(C#CTC)C(CTC(CC)CSC(CTCX))C________ weight of 2511 logP of 0
CTCOC(CCCTC)C(CTC)CC(C#C(CCCX))C________ weight of 2640 logP of 0
O(N=C(C)CTC)CCCTC(CC#CTC(COCX))C________ weight of 2510 logP of 0
RC=CC(C(CTC)C(CTC#CCTC=C(C)CR))C________ weight of 2160 logP of 0
XN=CC(C(CTC)C=CTCCCCOC)C(C(CR))C________ weight of 2510 logP of 0
S(TCC(C=CTC)C=CTCOCCTC=C(C#CR))C________ weight of 2481 logP of 0
RSC=C(C=CTC)C#CTC#CC=C(C(CTCR))C________ weight of 2281 logP of 0
S=C(C(CCCTC)C(CTCTCC)C)C(C(CR))C________ weight of 2541 logP of 0
C(R)C(COCTC)C(CTCTCC#COC(C#CR))C________ weight of 2340 logP of 0
ClC(TC(COCTC)CCCTC(CC)CTC(C=CR))C________ weight of 2725 logP of 0
RC(TC(C#CTC)CCCTCOCC)C(C(CCCC))C________ weight of 2640 logP of 0
TC=CC(C=CTC)C(CTC=CC=CTC(CTCC))C________ weight of 2300 logP of 0
T=NOC(CTCTC)C#CTC(CCTC=C(CCCC))C________ weight of 2470 logP of 0
RC=NC(CTCTC)C#CTCOCCCC(C(C#CC))C________ weight of 2590 logP of 0
O=CTC(COCTC)C(CTC=CCTC#C(C=CC))C________ weight of 2460 logP of 0
C=CTC(C(CTC)C#CTC(CCOCTC(C)CF))C________ weight of 2520 logP of 0
O=NTC(C#CTC)C#CTC#CC=CCC(C(CF))C________ weight of 2430 logP of 0
O(CCC(C(CTC=C=CTCSCC)C)C(C=CR))C________ weight of 2661 logP of 0
T(COC(CTCTC=C=CTCOCC=C)C(CCCR))C________ weight of 2500 logP of 0
T(X)C(C#CTC=C=CTCCCCCCSC(CCCR))C________ weight of 2621 logP of 0
ROOTC(COCTC=CCCTC#CC(C)C(CCCR))C________ weight of 2660 logP of 0
FON=C(CTCTC=CCCTC#CC(C)C(CTCR))C________ weight of 2510 logP of 0
O(T)C(C)CTC=COCTCOCC(C=C(CSCR))C________ weight of 2721 logP of 0
CC(=C(CTCTC=C(CTC#CC)CCC(C)CR))C________ weight of 2300 logP of 0
FSCOC(C#CTC=C=CTCTCC)C(C(CTCT))C________ weight of 2681 logP of 0
ClC=NC(COCTC=C)CTC(CC=CTC(C#CT))C________ weight of 2655 logP of 0
O(OTC(CTCTC=C(CTCCCC#C)C(C)CT))C________ weight of 2360 logP of 0
FC(OC(C#CTC=C(CTC)CCOC=C(C)CT))C________ weight of 2520 logP of 0
C(F)C(C=CTC=C=CTCCCCSC=C(CTCX))C________ weight of 2661 logP of 0
S(C)C(C=CTC=CCCTCCCC=CTC(CTCX))C________ weight of 2641 logP of 0
ClCOOC(CTCTC=C(CTCTCC)C#C(C=CX))C________ weight of 2685 logP of 0
O=C(C(C#CTC=CTCTCOCC)C=C(CCCX))C________ weight of 2460 logP of 0
